STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
25,000053270-00051,1,6,0,00000,0,05,005,00000,'G. LAKE DAM SPILLWAY',,'G. LAKE DAM ROAD','GREENWOOD LAKE DAM',30.48,0.644,0,0000000000,0,41593540,071165760,159,3,63,63,09,1993,1,0,30,2023,0,4.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,1,19,0,00,3,0,4.3,3.4,10.4,0,0,4.3,7.9,32.69,N,0,N,0,0,N,N,N,7,7,0,32.7,0,24.5,6,6,N,5,7,7,,,,823,48,N  ,N  ,N  ,,,,,,,,,,               ,0,N,3,,0,0,0,N,N,N,N,0,0,,Y,5,50,2043,,Y,63,G,7,82.16
25,1730001P0000000,1,6,4,00216,0,00,001,00000,'CRANBERRY BOG',,'COAST GUARD BEACH','1.5 MILES FROM SALT POND',99.99,0,0,,,41504360,069565270,199,3,66,66,09,1986,2,0,500,2024,2,8.8,0,0,0,0,0,0,0,5,0,0,0,A,5,5,7,02,0,00,8,0,7.3,11.9,94.5,0,2.4,7.3,11,99.99,N,0,N,0,0,7,7,6,7,N,2,34.5,2,21.8,6,4,N,5,7,8,,,,624,24,N  ,N  ,N  ,,,,30,3,45,2022,,,               ,0,N,2,,0,0,,8,6,2,0,0,0,1,Y,5,550,2044,,Y,66,F,6,1039.5
25,A0100441DMUNNBI,1,5,1,00000,0,05,023,00170,'WATER SHUMATUSCACANT RIV',,'HWY   ADAMS ST','.25 MI. NE. OF RTE. 18',99.99,0.161,0,0000000000,0,42072675,070564706,0,3,03,03,19,1956,2,0,4000,2023,4,9.1,0,14,0,0,0,0,0,5,0,0,0,A,5,5,5,01,0,00,1,0,9.1,7.9,8.8,2.7,2.7,9.1,14.7,99.99,N,0,N,0,0,6,6,7,7,N,2,94.6,2,54.9,6,4,N,5,6,8,33,1,9,923,24,N  ,N  ,N  ,,,,603,61,905,2025,,,               ,0,N,2,,0,0,0,2,6,1,0,6,0,,Y,4,8212,2032,0,N,25,F,6,129.36
25,A0100641CMUNNBI,1,5,1,00000,0,05,023,00170,'WATER SHUMATUSCACANT RIV',,'HWY   CENTRAL ST','.5 MI E OF RTE 18',99.99,0.08,0,0000000000,0,42065136,070563092,3,3,03,03,17,1956,2,0,10345,2024,A,8.8,0,13,0,0,0,0,0,5,0,0,0,A,5,5,5,01,0,00,1,0,8.8,6.4,7,1.2,1.2,8.8,12.7,99.99,N,0,N,0,0,8,8,7,7,N,1,71.5,1,42.8,7,2,N,5,6,6,,,0,324,24,N  ,N  ,N  ,,,,0,0,0,2025,,,               ,0,N,2,,0,0,2023,2,6,1,0,11,0,,Y,8,12161,2032,0,N,25,G,7,88.9
25,A0200128RDOTNBI,1,3,1,00062,0,03,017,00380,'WATER ASSABET RIVER',,'ST 62 PWDR MILL RD','.1 MI NW. OF CONCORD LINE',99.99,70.384,1,0000000000,0,42262738,071254614,5,3,01,01,14,1953,3,0,10623,2022,4,12.2,0,10,0,0,0,1,1,5,0,0,0,P,5,5,3,02,0,00,1,0,12.2,22.6,23.7,0.8,2,12.2,15,99.99,N,0,N,0,0,6,5,6,5,N,1,53.1,1,32.8,5,4,N,5,8,8,35,1,24,224,24,N  ,Y36,N  ,,0522,,2338,234,3508,2025,,,               ,0,N,2,,1,0,0,1,6,1,0,2,0,,Y,4,43905,2033,0,N,25,F,5,355.5
25,A0200429ADOT634,1,3,1,00027,0,03,017,00380,'RR    MBTA/BMRR',,'ST 27 MAIN ST','100 FT S OF SCHOOL ST',99.99,99.786,1,0000000000,0,42273624,071271606,2,3,01,01,14,1906,3,0,9069,2022,5,11,0,18,0,1,0,1,0,3,N,0,0,A,5,2,6,01,0,00,3,0,11,13.1,26,1.6,1.6,11,15.2,99.99,R,6.17,R,2.7,3.2,6,6,7,N,N,1,55,1,46.3,6,2,4,5,N,6,33,1,27,124,24,N  ,N  ,N  ,,,,3114,312,4672,2025,,,               ,0,N,2,,1,0,1997,2,6,1,1,2,0,,Y,N,21478,2033,0,N,25,F,6,395.2
25,A0200628KDOTNBI,1,3,1,00111,0,03,017,00380,'WATER FORT POND BROOK',,'ST111 MASS AVE','1.5 MI W RT 2 & ST 111',99.99,5.826,0,0000000000,0,42283340,071280387,3,3,01,01,16,1907,2,0,12700,2024,0,7.9,0,16,0,1,0,1,0,4,0,0,0,A,5,5,2,04,0,00,2,0,8.1,2.7,6.7,0,1.2,8.1,11,99.99,N,0,N,0,0,6,5,6,6,N,1,74.9,1,44.9,5,2,N,5,8,8,35,1,7,1224,24,N  ,Y24,N  ,,0225,,500,51,751,2025,,,               ,0,N,2,,0,0,1998,1,6,0,0,5,0,,Y,4,12161,2031,0,N,25,F,5,73.7
25,A0200723XMUNNBI,1,5,1,00000,0,03,017,00380,'WATER FORT POND BROOK',,'HWY   LAWSBROOK RD','100 FT SE OF SCHOOL ST',99.99,0.032,0,0000000000,0,42274952,071252174,5,3,03,03,17,1928,2,0,2885,2022,0,7.3,0,0,0,0,N,0,0,4,0,0,0,A,1,5,1,04,0,00,1,0,7.9,7,7.9,0.1,0.1,7.9,8.7,99.99,N,0,N,0,0,6,5,7,6,N,1,81.4,1,48.7,5,3,N,5,7,6,35,1,8,723,24,N  ,Y36,N  ,,1024,,452,46,679,2025,,,               ,0,N,2,,0,0,0,1,6,0,0,6,0,,Y,4,5212,2032,0,N,25,F,5,68.73
25,A02008255MUNNBI,1,5,1,00000,0,03,017,00380,'WATER FORT POND BROOK',,'HWY   RIVER ST','@ CORNER OF CARRIAGE ST',99.99,1.288,0,0000000000,0,42272468,071261264,3,3,03,03,19,1937,2,0,800,2023,0,5.8,0,30,0,0,0,1,1,5,0,0,0,A,1,5,3,11,0,00,1,0,6.2,7,15.8,0,0,6.2,7.6,99.99,N,0,N,0,0,N,6,7,5,N,1,99.9,1,99.9,6,3,N,5,7,7,33,1,16,1223,24,N  ,N  ,N  ,,,,1496,150,2245,2025,,,               ,0,N,2,,0,0,0,N,N,N,N,2,0,,Y,8,3159,2032,0,N,25,F,6,120.08
25,A0200923YMUNNBI,1,5,1,00000,0,03,017,00380,'WATER NASHOBA BROOK',,'HWY   BROOK ST','.25 MI. W OF RTE. 2A',99.99,0.354,0,0000000000,0,42293831,071251250,2,3,03,03,17,1938,2,0,7200,2023,0,8.2,0,0,0,0,0,1,1,4,0,0,0,A,5,5,3,19,0,00,2,0,8.2,3.3,7.9,0.7,0.9,8.2,11,99.99,N,0,N,0,0,N,N,N,5,6,1,99.9,1,99.2,6,2,N,5,7,7,33,1,6,1223,24,N  ,Y36,N  ,,0924,,741,75,1112,2025,,,               ,0,N,2,,0,0,0,N,N,N,N,8,0,,Y,8,12729,2032,0,N,25,F,6,86.9
