STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
38,      DKA-G-001,1,4,1,02861,0,00,055,00000,'McClusky Canal',,'26th Ave. N.W.','8.6 mi N. of Underwood',99.99,0,0,,0,47340657,101053968,11,3,69,69,07,1972,2,0,100,2013,0,8.8,0,0,0,1,1,1,0,5,0,0,0,A,1,5,1,19,0,00,4,0,11,3.9,15.9,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,7,1,45,1,32.4,7,N,N,5,9,8,,,0,721,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,N,N,N,N,,0,,Y,5,110,2041,,Y,69,G,7,139.92
38,      DKA-G-003,1,6,8,00000,0,00,055,00000,'Lake Sakakawea',,'PP Access Road','5.2 mi N-NW of Coleharbor',99.99,0,0,,0,47364231,101160284,320,3,69,69,09,1973,1,0,30,2013,6,5.5,0,0,0,N,N,N,N,5,0,0,0,A,5,5,5,02,0,00,2,0,5.5,25.4,52.3,0.3,1.5,5.5,7.3,99.99,N,0,N,0,0,8,7,7,8,N,2,45,2,32.4,7,4,N,5,9,3,,,0,721,48,N  ,Y60,N  ,,1023,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,8,30,2039,,Y,69,G,7,381.79
38,     DKA-G-R3-2,1,4,0,00000,0,00,083,00000,'McClusky Canal',,'5th Street SE','10.4 mi S-SW of McClusky',99.99,0,0,,0,47203122,100301519,11,3,69,69,08,1973,2,0,30,2011,4,8.5,0,0,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,2,0,8.5,15.6,32.9,0,0,8.5,10,99.99,N,0,N,0,0,8,8,7,8,N,1,58.5,1,35.1,7,7,N,5,9,8,,,0,721,48,N  ,Y60,N  ,,1023,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,5,33,2039,,Y,69,G,7,329
38,     DKA-G-R3-3,1,4,1,00000,0,00,083,00000,'McClusky Canal',,'1st Street SE','6.4 mi S-SW of McClusky',99.99,0,0,,0,47235994,100293350,10,3,69,69,09,1973,2,0,30,2011,4,8.5,0,9,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,2,0,8.5,15.6,32.9,0,0,8.5,10,99.99,N,0,N,0,0,7,8,7,8,N,1,58.5,1,35.1,7,7,N,5,9,8,,,0,721,48,N  ,Y60,N  ,,1023,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,5,33,2042,,Y,69,G,7,329
38,     DKA-G-R4-1,1,4,1,00000,0,00,083,00000,'McClusky Canal',,'5th Ave N.E.','3.3 Miles N. of McClusky',99.99,0,0,,0,47320002,100261728,2,3,69,69,08,1973,2,0,310,2011,4,8.5,0,20,0,1,1,1,1,5,0,0,0,A,1,5,5,06,0,00,3,0,8.5,20.6,63.6,0,0,8.5,10,99.99,N,0,N,0,0,8,7,8,8,N,1,88.2,1,53.1,7,6,N,5,9,8,,,0,721,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,10,0,,Y,5,330,2042,,Y,69,G,7,636
38,     DKA-G-R4-2,1,4,1,00000,0,00,083,00000,'McClusky Canal',,'11th Street NE','6.4 mi N-NE of McClusky',99.99,0,0,,0,47342718,100235705,10,3,69,69,08,1973,2,0,30,2011,4,8.5,0,1,0,1,1,1,1,5,0,0,0,A,1,5,5,06,0,00,2,0,8.5,15,31.4,0,0,8.5,10,99.99,N,0,N,0,0,7,8,7,7,N,8,37.9,8,29.5,7,7,N,5,9,8,,,0,721,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,4,33,2041,,Y,69,G,7,314
38,     DKA-G-R4-3,1,4,1,04216,0,00,083,00000,'McClusky Canal',,'14th Street NE','9.5 mi N-NE of McClusky',99.99,0,0,,0,47370341,100230253,7,3,69,69,07,1973,2,0,100,2011,4,8.5,0,32,0,1,1,1,1,5,0,0,0,A,1,5,5,06,0,00,2,0,8.5,17.5,36.6,0,0,8.5,10,99.99,N,0,N,0,0,7,8,7,7,N,8,44.4,8,34.3,7,7,N,5,9,8,,,0,721,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,4,110,2041,,Y,69,G,7,366
38,     DKA-G-R4-4,1,4,1,00000,0,00,083,00000,'McClusky Canal',,'16th Street NE','11.7 mi N-NE of McClusky',99.99,0,0,,0,47384759,100215001,7,3,69,69,08,1973,2,0,30,2011,4,8.5,0,18,0,1,1,1,1,5,0,0,0,A,1,5,5,06,0,00,2,0,8.5,15.7,32.9,0,0,8.5,10,99.99,N,0,N,0,0,7,8,7,8,N,1,52.2,1,32.4,7,7,N,5,9,8,,,0,721,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,5,33,2041,,Y,69,G,7,329
38,     DKA-G-R4-5,1,4,1,00000,0,00,083,00000,'McClusky Canal',,'19th Street NE','14.9 mi N-NE of McClusky',99.99,0,0,,0,47411788,100200560,11,3,69,69,08,1973,2,0,30,2011,4,8.5,0,6,0,1,1,1,1,5,0,0,0,A,1,5,5,06,0,00,2,0,8.5,15,31.4,0,0,8.5,10,99.99,N,0,N,0,0,8,7,8,8,N,1,60.3,1,36,7,7,N,5,9,8,,,0,721,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,5,33,2041,,Y,69,G,7,314
38,    DKA-G-A-001,1,4,1,00000,0,00,093,00000,'Arrowwood Bypass Channel',,'11th Street S E','6.5 mi N-NE of Pingree ND',99.99,0,0,,0,47151760,098512033,28,3,69,69,07,2005,2,0,30,2011,5,7.9,0,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,00,3,0,7.9,3.9,11.6,0,0,0,0,99.99,N,0,N,0,0,N,N,N,8,7,8,82,8,63.2,7,N,N,5,8,8,,,0,1023,48,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,N,N,N,N,,0,,Y,7,40,2044,,Y,69,G,7,91.64
