STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
30,       11FT0003,1,8,8,00000,0,00,063,00000,'Frenchtown Main Canal',,'Farm Access','5 mi NW of Missoula  MT',99.99,0,0,,0,46543614,114085048,320,3,80,69,09,1970,1,0,10,2024,0,4.6,0,0,0,0,N,N,N,5,0,0,0,A,1,5,3,00,0,00,1,0,5.3,9.8,12.3,0.4,0.4,5.3,6.1,99.99,N,0,N,0,0,6,6,5,7,N,3,4.3,3,3.4,3,3,N,4,9,5,,,0,324,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,9,0,0,0,,0,,Y,4,10,2044,,Y,69,F,5,75.03
30,     MTA-CF-001,1,4,1,00284,0,00,049,00000,'Canyon Ferry Spillway',,'Route 284','14 mi E-NE of Helena MT',99.99,0,0,,0,46385381,111434185,109,3,69,69,07,1950,2,0,600,2015,6,6.1,0,0,0,1,N,1,N,4,0,0,0,A,5,5,3,03,0,00,4,0,6.3,17.4,70.2,0.9,0.4,6.3,8.3,99.99,N,0,N,0,0,5,5,6,8,N,2,63.9,2,43.2,5,3,N,5,9,3,,,0,424,24,Y24,N  ,N  ,0424,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,660,2042,,Y,69,F,5,582.66
30,     MTA-CF-002,1,7,8,00000,0,00,007,00000,'CF WMA - Eastside Canal',,'Canton Lane','3 mi NE of Townsend MT',99.99,0,0,,0,46213406,111301328,10,3,63,69,09,1974,2,0,5,2019,4,5.5,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,04,0,00,1,0,5.3,12,12.7,0,0,5.3,5.5,99.99,N,0,N,0,0,6,6,7,8,N,0,40.5,0,24.3,6,3,N,5,9,4,,,0,823,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,2,0,0,0,,0,,Y,5,7,2041,,Y,69,F,6,69.85
30,     MTA-CF-003,1,7,8,00000,0,00,007,00000,'CF WMA - Eastside Canal',,'Lower Ray Cr Road','5 mi NE of Townsend MT',99.99,0,0,,0,46230304,111290762,10,3,63,69,09,1974,2,0,5,2019,4,5.5,0,0,0,1,0,0,0,5,0,0,0,A,1,5,5,04,0,00,1,0,5.3,11.3,12,0,0,5.3,5.5,99.99,N,0,N,0,0,6,7,4,8,N,0,42.1,0,25.3,4,3,N,5,9,4,,,0,823,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,2,0,0,0,,0,,Y,4,7,2042,,Y,69,P,4,66
30,     MTA-HP-001,1,6,0,00000,0,00,111,00000,'Anita Dam Spillway',,'ANITA RES ACC RD','7.2 mi E-SE of Ballantine',99.99,0,0,,0,45555868,107595455,3,3,25,69,09,1937,1,0,10,2011,C,3.4,0,0,0,0,0,0,0,2,0,0,0,P,1,5,2,01,0,00,3,0,3.7,4.2,13,0,0,3.7,4.1,99.99,N,0,N,0,0,4,5,5,6,N,1,5.4,1,3.6,3,4,N,0,9,6,,,0,923,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,3,,0,0,0,1,0,0,0,,0,,Y,5,11,2042,,Y,69,P,4,53.3
30,     MTA-SR-001,1,6,8,00000,0,00,049,00000,'Sun River',,'PISHKUN ROAD','19 miles NW of Augusta',99.99,0,0,,0,47370646,112413127,80,3,25,69,09,1916,1,0,40,2023,C,4.1,0,0,0,0,0,0,0,2,0,0,0,P,1,5,3,10,3,02,2,1,4.1,33.5,76.1,0,0,4,4.1,99.99,N,0,N,0,0,4,4,3,8,N,2,6.3,2,4.5,3,5,N,0,9,3,,,0,923,24,Y24,Y60,N  ,0923,0923,,0,0,0,,,,               ,0,N,3,,0,0,0,2,0,0,0,,0,,Y,2,33,2041,,Y,69,P,3,312.01
30,   MTA-EBID-018,1,8,8,00000,0,00,001,00000,'East Bench Canal',,'RiceBran access Rd','11 mi NW of Dillon MT',99.99,0,0,,0,45190758,112275195,320,3,25,69,09,1962,2,0,20,2019,2,6.7,0,0,0,0,0,0,0,5,0,0,0,P,1,5,7,02,0,00,2,0,6.5,5.9,12,0,0,6.5,6.7,99.99,N,0,N,0,0,5,6,6,6,N,7,25.3,7,18.8,5,5,N,3,9,4,,,0,523,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,8,0,0,0,,0,,Y,5,30,2042,,Y,69,F,5,80.4
30,000000000001010,1,1,1,00015,1,02,001,00000,'SEP RR',,'I 15','1.9M S LIMA',99.99,20.691,1,,0,44370294,112330548,2,3,01,01,01,2016,2,0,1771,2023,A,11.6,0,0,0,1,1,1,1,5,N,0,0,A,1,2,4,02,0,00,5,0,11.5,40.9,170.8,0,0,11.5,12.2,99.99,R,7.16,R,4,0,6,7,7,N,N,8,43.7,8,33.7,7,5,5,5,N,8,31,1,170.7,623,24,Y24,N  ,N  ,0623,,,856,428,1284,,,,               ,1,L,1,,1,0,0,1,0,0,0,30,1,1,Y,N,1894,2043,0,N,30,F,6,2083.76
30,000000000001104,1,1,1,00015,1,02,093,00000,'LOCAL-RARUS RR',,'I 15','1.2M W BUTTE',99.99,200.93,1,,0,45595700,112340646,2,3,01,01,11,2018,2,8,7379,2023,A,11.6,0,0,0,1,1,1,1,5,N,0,0,A,1,4,4,02,0,00,3,0,11.3,42.4,111.6,0,0,11.4,12.2,99.99,R,7.77,R,8.2,25.2,7,8,7,N,N,3,47.2,3,36.3,7,5,9,5,N,8,,,,824,24,N  ,N  ,N  ,,,,,,,,,,               ,1,R,1,,1,0,0,1,0,0,1,15,1,,Y,N,7747,2043,,N,30,G,7,1361.52
30,000000000001106,1,1,1,00015,1,02,093,00000,'SILVERBOW CREEK-RR',,'I 15','1.2M W BUTTE',99.99,201.196,1,,0,45594866,112335941,2,3,01,01,11,2018,2,0,7379,2023,A,12.2,0,0,0,1,1,1,1,5,0,0,0,A,1,7,4,02,0,00,4,0,11.4,50.3,182.3,0,0,11.4,12.2,99.99,R,8.03,R,8.7,11.9,7,8,7,8,N,3,56.2,3,42.6,7,5,9,5,8,7,,,,824,24,N  ,N  ,N  ,,,,,,,,,,               ,1,R,1,,1,0,0,1,0,0,9,15,1,,Y,5,7747,2043,,N,30,G,7,2224.06
30,000000000001178,1,1,1,00015,1,03,049,35600,'SEP BOULDER AVE-RR',,'I 15','HELENA',99.99,309.476,1,,0,46355482,112001133,2,3,01,01,11,2016,3,2,14810,2023,A,19.7,0,33,0,1,1,1,1,5,N,0,0,A,1,4,4,02,0,00,4,0,18.7,64.6,241.1,0,0,18.7,19.5,99.99,R,7.92,R,4.6,0,6,8,8,N,N,3,38.1,3,29,7,9,6,5,N,8,31,1,246.9,724,24,N  ,N  ,N  ,,,,1531,766,2297,,,,               ,1,R,1,,1,0,0,1,1,0,1,4,1,,Y,N,16957,2043,,N,30,F,6,4701.45
