STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
49,         0402-3,1,6,8,00000,0,00,013,00000,'Rock Creek',,'FR134','Upper Stillwater Dam',99.99,0,0,,0,40332660,110415150,16,3,25,69,06,1987,2,0,100,2017,5,9.1,0,10,0,1,1,1,1,5,0,0,0,A,1,5,5,02,0,00,2,0,7.9,32,68.3,0.9,0,7.9,10.5,99.99,N,0,N,0,0,7,7,7,7,N,8,32.7,8,25.3,6,6,N,5,7,6,,,0,724,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,,0,,Y,8,150,2037,,Y,69,G,7,717.15
49,         0D 737,1,3,1,00158,0,00,057,00000,'Pineview Dam Spillway',,'SR-158','Pineview Dam in Ogden',99.99,0.032,0,,0,41151716,111503377,16,3,69,69,07,1956,2,0,6510,2014,2,8.5,0,0,0,1,0,0,0,2,0,0,0,A,1,5,2,01,0,00,2,0,8.5,3.7,9.9,0,0,8.5,9.1,99.99,N,0,N,0,0,6,6,6,8,N,6,39.2,6,19.8,5,2,N,5,8,4,,,0,723,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,0,0,0,1,0,0,0,27,0,,Y,8,8138,2034,,Y,69,F,6,90.09
49,        001001C,1,4,0,00000,0,04,001,00000,'BEAVER RIVER',,'COUNTY ROAD','0.25 MILES SE. OF BEAVER',99.99,0,0,12SUH57173,,38155880,112375780,199,3,02,02,09,1945,1,0,28,2010,4,4.8,0,10,0,0,0,0,0,4,N,0,0,P,1,5,3,02,0,00,1,0,4.8,7.3,9.1,0,0,4.8,4.8,99.99,N,0,N,0,0,6,5,5,6,N,6,35.6,8,19.4,5,8,N,5,4,6,,,0.3,324,24,N  ,N  ,N  ,,,,0,0,0,,,0,Not Applicable ,0,N,3,,0,0,0,6,6,0,0,0,0,1,Y,4,37,2030,,N,49,F,5,43.68
49,        001002F,1,4,0,00000,0,04,001,00000,'BEAVER RIVER',,'HOLDAWAY LANE','1.5 MILES SE. OF BEAVER',99.99,0,0,12SUH58853,,38162040,112364880,8,3,04,04,09,1985,2,0,50,2010,6,5.2,0,0,0,0,0,0,0,5,N,0,0,A,1,5,5,04,0,00,1,0,5.2,7.3,8.2,0,0,5.2,6.1,99.99,N,0,N,0,0,6,6,6,8,N,8,32.4,8,19.4,5,N,N,5,6,6,,,,324,24,N  ,N  ,N  ,,,,0,0,0,,,0,Not Applicable ,0,N,3,,0,0,0,2,8,0,0,0,0,1,Y,5,61,2030,0,N,49,F,6,50.02
49,        001003C,1,4,0,01005,0,04,001,00000,'BEAVER RIVER',,'COUNTY RD (100 E)','SOUTH OF ADAMSVILLE',99.99,2.145,0,0000001005,0,38150840,112472121,6,3,02,02,08,1923,1,0,63,2010,A,4.7,0,0,0,0,0,0,0,2,N,0,0,P,1,5,3,10,0,00,1,0,4.7,18.3,18.9,0,0,4.7,4.7,99.99,N,0,N,0,0,6,4,5,5,N,6,13,6,9.7,3,7,N,0,4,6,,,,324,24,Y24,N  ,N  ,0324,,,0,0,0,,,0,Not Applicable ,0,N,3,,0,0,0,6,6,0,0,0,0,1,Y,3,77,2030,0,N,49,P,4,88.83
49,        001004E,1,4,0,01001,0,04,001,00000,'BEAVER RIVER',,'COUNTY ROAD','1 MILE NW. OF MINERSVILLE',99.99,25.888,0,00001001PM,0,38132000,112555000,11,3,02,02,07,1998,2,0,252,2010,5,10.1,0,5,0,N,N,N,N,5,N,0,0,A,1,5,1,19,0,00,1,0,16.2,6.1,6.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,5,8,32.4,8,32.4,5,N,N,5,8,8,,,,324,24,N  ,N  ,N  ,,,,0,0,0,,,0,Not Applicable ,0,N,2,,0,0,0,N,N,N,N,5,0,,Y,8,306,2030,,N,49,F,5,67.67
49,        001005F,1,4,0,01006,0,04,001,00000,'BEAVER RIVER',,'COUNTY ROAD','0.5 MILE S. OF GREENVILLE',99.99,9.292,0,0000001006,0,38150350,112424922,11,3,02,02,08,1985,1,0,50,2010,6,5.4,0,0,0,1,1,1,0,5,N,0,0,A,1,5,5,04,0,00,1,0,5.4,11,11.4,0,0,5.4,6,30.18,N,0,N,0,0,6,6,6,6,N,8,32.4,8,22.7,6,3,N,5,6,7,,,,324,24,N  ,N  ,N  ,,,,0,0,0,,,0,Not Applicable ,0,N,3,,0,0,0,9,1,0,0,0,0,1,Y,5,61,2030,0,N,49,F,6,68.4
49,        001006V,1,4,1,01003,0,04,001,00000,'DRY WASH',,'HWY 129','0.3 MILES SO. OF MILFORD',99.99,19.642,0,0000001002,0,38230501,113003527,0,3,02,02,07,2005,2,0,882,2010,5,8.2,0,0,0,N,N,N,N,5,N,0,0,A,1,5,3,19,0,00,4,0,15.8,2,10.2,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,6,8,97.2,8,97.2,6,N,N,5,8,8,,,,324,24,N  ,N  ,N  ,,,,0,0,0,,,0,Not Applicable ,0,N,2,,0,0,0,N,N,N,N,5,0,1,Y,8,1072,2030,0,N,49,F,6,83.64
49,        001007F,1,4,0,01002,0,04,001,00000,'BEAVER RIVER',,'1250 EAST','1 MILE E. OF MINERSVILLE',99.99,3.578,0,00001002PM,0,38130500,112540600,3,3,02,02,07,2004,2,0,95,2010,A,9.8,0,60,0,1,1,0,1,5,N,0,0,A,1,5,5,02,0,00,1,0,9.8,21.3,22.1,0,0,9.8,10.7,99.99,N,0,N,0,0,5,7,7,6,N,8,48.6,8,38.9,7,8,N,5,6,8,,,,324,24,N  ,N  ,N  ,,,,0,0,0,,,0,Not Applicable ,0,N,2,,0,0,0,1,2,0,1,0,0,,Y,8,115,2030,0,N,49,F,5,236.47
49,        001008V,1,4,1,01003,0,04,001,00000,'DRY WASH',,'CO. HWY. #129','3.5 MILES SO. OF MILFORD',99.99,14.454,0,0000001002,0,38201800,113003561,0,3,02,02,07,2005,2,0,882,2010,5,9.1,0,0,0,N,N,N,N,5,N,0,0,A,1,5,3,19,0,00,4,0,14.6,2,10.2,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,6,8,97.2,8,97.2,6,N,N,5,8,8,,,,324,24,N  ,N  ,N  ,,,,0,0,0,,,0,Not Applicable ,0,N,2,,0,0,0,N,N,N,N,5,0,1,Y,8,1072,2030,0,N,49,F,6,92.82
49,        001009E,1,5,0,01014,0,04,001,00000,'NORTH CREEK',,'400 WEST','NORTH SIDE OF BEAVER',99.99,0.579,0,0000001014,0,38175160,112385446,3,3,04,04,08,1982,2,0,101,2010,5,9.1,0,40,0,0,0,0,0,5,N,0,0,A,1,5,2,19,0,00,2,0,9.1,4.8,9,0,0,9.1,14.1,99.99,N,0,N,0,0,N,N,N,6,5,8,32.4,8,22.7,5,6,N,5,5,8,,,,324,24,N  ,N  ,N  ,,,,0,0,0,,,0,Not Applicable ,0,N,2,,0,0,0,N,N,0,0,0,0,,Y,8,122,2030,0,N,49,F,5,126.9
